CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
8006	8702	3	0.7238	3.939
6753	7721	3	0.8076	-55.079
7111	7843	3	0.9322	-28.031
6753	7098	3	0.9422	-14.016
8117	8883	3	0.8803	-14.016
7718	7789	3	0.9261	14.015
7845	7852	3	0.8975	56.062
7098	8852	3	0.7935	-10.021
6753	7766	3	0.8008	32.025
8134	8882	3	0.961	-14.017
7712	8480	3	0.8217	-29.035
8458	8882	3	0.9848	-0.000
8042	8852	3	0.9226	-42.047
7934	8702	3	0.8943	-28.032
7766	8042	3	0.8978	-14.015
8134	8852	3	0.9263	-28.033
7721	7934	3	0.7281	59.074
8458	8467	3	0.9522	-73.089
7712	8111	3	0.9046	-14.016
8042	8882	3	0.9417	-28.032
8644	8882	3	0.9298	-14.016
7846	8883	3	0.8176	-41.062
7016	8483	3	0.7485	-56.061
7335	7852	3	0.9097	-31.043
8042	8458	3	0.9461	-28.031
7335	7845	3	0.8651	-87.104
8117	8134	3	0.9293	73.090
7718	8852	3	0.9234	-42.047
8882	9128	3	0.9349	-28.032
7335	8852	3	0.8228	3.994
7766	7789	3	0.9126	0.000
7852	8883	3	0.7962	-24.036
7098	7338	3	0.792	-14.014
2885	3471	4	0.8588	-14.016
3266	3471	4	0.7351	88.064
3065	3266	4	0.8986	0.000
3065	3471	4	0.7673	88.064
2003	2885	4	0.7875	74.048
2885	3400	4	0.8009	-14.016
3450	4263	5	0.9471	15.995
2498	2628	6	0.9002	0.000
9706	11555	7	0.9028	0.000
10183	10703	7	0.932	0.000
11593	11605	7	0.9428	67.987
9063	9643	7	0.8792	0.000
9063	9692	7	0.8849	-67.987
11632	11642	7	0.9041	-135.976
7990	10592	7	0.8584	-351.890
9483	11545	7	0.9126	-67.987
10366	11533	7	0.903	67.987
11541	11545	7	0.9563	-67.987
11583	11593	7	0.9005	-203.961
11044	11150	7	0.8911	0.000
9063	10593	7	0.9033	0.000
11642	11646	7	0.9094	271.951
11594	11634	7	0.8408	-361.919
11638	11653	7	0.8496	203.961
11622	11653	7	0.88	-339.937
11576	11583	7	0.9154	-135.975
9787	9978	7	0.897	0.000
9371	11548	7	0.8172	0.000
9708	9978	7	0.8657	0.000
9692	11545	7	0.9196	0.000
10452	11587	7	0.843	-135.974
10366	11237	7	0.9207	0.000
9483	11541	7	0.9215	0.000
9483	11237	7	0.8911	0.000
10108	11555	7	0.9093	-67.987
10452	10656	7	0.8298	-135.974
10049	11185	7	0.9083	67.987
9561	9978	7	0.8605	0.000
9063	11237	7	0.891	0.000
11638	11642	7	0.9241	135.973
11594	11596	7	0.9208	67.987
10671	11555	7	0.9016	67.987
11381	11638	7	0.8354	-407.924
11582	11605	7	0.917	-203.962
10592	11187	7	0.8888	0.000
10072	11150	7	0.8916	0.000
9561	11185	7	0.8911	0.000
11582	11594	7	0.8967	-407.924
11150	11188	7	0.8824	-67.987
9978	11185	7	0.9224	0.000
11596	11634	7	0.8527	-429.906
10009	10592	7	0.8738	0.000
9483	9643	7	0.8917	0.000
9713	11605	7	0.8472	0.001
9978	10703	7	0.9134	0.000
9787	10703	7	0.9449	0.000
11637	11653	7	0.8961	-135.976
9293	11187	7	0.8567	-351.890
