"CLUSTERID1","CLUSTERID2","ComponentIndex","Cosine","DeltaMZ","ChemProp2","ChemProp_spearman","ChemProp_log","ChemProp_sqrt","abs_ChemProp2","abs_ChemProp_spearman","abs_ChemProp_log","abs_ChemProp_sqrt","Sign_ChemProp2","Compound1_LibraryID","Compound1_MQScore","Compound1_MS2 Verification Comment","Compound1_RTConsensus","Compound1_RTMean","Compound1_RTStdErr","Compound1_Smiles","Compound1_SpectrumID","Compound1_SumPeakIntensity","Compound1_UniqueFileSourcesCount","Compound1_cluster index","Compound1_componentindex","Compound1_neutral M mass","Compound1_number of spectra","Compound1_parent mass","Compound1_precursor charge","Compound1_precursor mass","Compound1_sum(precursor intensity)","Compound2_LibraryID","Compound2_MQScore","Compound2_MS2 Verification Comment","Compound2_RTConsensus","Compound2_RTMean","Compound2_RTStdErr","Compound2_Smiles","Compound2_SpectrumID","Compound2_SumPeakIntensity","Compound2_UniqueFileSourcesCount","Compound2_cluster index","Compound2_componentindex","Compound2_neutral M mass","Compound2_number of spectra","Compound2_parent mass","Compound2_precursor charge","Compound2_precursor mass","Compound2_sum(precursor intensity)"
4353,5489,95,0.8715,49.979,0.646435448780994,0.573571426721888,0.500740655282271,0.581288105550727,0.646435448780994,0.573571426721888,0.500740655282271,0.581288105550727,1,"N/A","N/A",NA,4.6007,4.6007,0,"N/A","N/A",791753.4001,62,4353,95,NA,62,376.1291,1,376.1291,791753.4001,"N/A","N/A",NA,5.3467,5.3467,0,"N/A","N/A",8195524.564,74,5489,95,NA,74,326.1497,1,326.1497,8195524.564
7442,8014,63,0.9178,-14.016,0.554485870150869,0.235874653437029,0.317592632470897,0.46152212275834,0.554485870150869,0.235874653437029,0.317592632470897,0.46152212275834,1,"N/A","N/A",NA,6.0208,6.0208,0,"N/A","N/A",8349152.608,37,7442,63,NA,37,1016.6248,1,1016.6248,8349152.608,"N/A","N/A",NA,6.1508,6.1508,0,"N/A","N/A",21516038.6177,48,8014,63,NA,48,1030.6406,1,1030.6406,21516038.6177
64,781,101,0.8069,14,0.550673023787945,0.560822303928668,0.271957319067799,0.439414707639358,0.550673023787945,0.560822303928668,0.271957319067799,0.439414707639358,1,"N/A","N/A",NA,0.5207,0.5207,0,"N/A","N/A",4008673.44056,75,64,101,NA,75,245.0954,1,245.0954,4008673.44056,"N/A","N/A",NA,1.781,1.781,0,"N/A","N/A",5855241.644,74,781,101,NA,74,231.0958,1,231.0958,5855241.644
4856,5489,95,0.931,-14.016,0.545011405339777,0.546322742977603,0.222482132007093,0.40661460204587,0.545011405339777,0.546322742977603,0.222482132007093,0.40661460204587,1,"N/A","N/A",NA,5.0638,5.0638,0,"N/A","N/A",7809399.439,74,4856,95,NA,74,312.134,1,312.134,7809399.439,"N/A","N/A",NA,5.3467,5.3467,0,"N/A","N/A",8195524.564,74,5489,95,NA,74,326.1497,1,326.1497,8195524.564
64,782,101,0.8982,15.995,0.539463133480494,0.580500279505112,0.199980270861262,0.401934302316147,0.539463133480494,0.580500279505112,0.199980270861262,0.401934302316147,1,"N/A","N/A",NA,0.5207,0.5207,0,"N/A","N/A",4008673.44056,75,64,101,NA,75,245.0954,1,245.0954,4008673.44056,"N/A","N/A",NA,1.7816,1.7816,0,"N/A","N/A",146076716.66,74,782,101,NA,74,229.1004,1,229.1004,146076716.66
4445,7262,227,0.8413,-84.093,0.51553568582033,0.716541892516029,0.600466979891965,0.558914500943432,0.51553568582033,0.716541892516029,0.600466979891965,0.558914500943432,1,"N/A","N/A",NA,4.7197,4.7197,0,"N/A","N/A",262259.79638,48,4445,227,NA,48,230.1751,1,230.1751,262259.79638,"N/A","N/A",NA,5.9989,5.9989,0,"N/A","N/A",131264.61276,42,7262,227,NA,42,314.2685,1,314.2685,131264.61276
1025,1074,284,0.8887,0.021,0.505669293045756,0.560822303928668,0.364744265028042,0.448911379455843,0.505669293045756,0.560822303928668,0.364744265028042,0.448911379455843,1,"N/A","N/A",NA,2.0765,2.0765,0,"N/A","N/A",1155798.72197,69,1025,284,NA,69,243.1339,1,243.1339,1155798.72197,"N/A","N/A",NA,2.1157,2.1157,0,"N/A","N/A",2368401.016,74,1074,284,NA,74,243.1127,1,243.1127,2368401.016
220,1769,164,0.9644,0,0.502102437856305,0.576462470376049,0.517529881019835,0.525877359247479,0.502102437856305,0.576462470376049,0.517529881019835,0.525877359247479,1,"N/A","N/A",NA,0.9682,0.9682,0,"N/A","N/A",10010641.25446,74,220,164,NA,74,190.0862,1,190.0862,10010641.25446,"N/A","N/A",NA,2.5286,2.5286,0,"N/A","N/A",974415.5165,74,1769,164,NA,74,190.0862,1,190.0862,974415.5165
1615,1719,100,0.8896,27.995,0.496726830146656,0.434468987069393,0.300895406917686,0.418004313310673,0.496726830146656,0.434468987069393,0.300895406917686,0.418004313310673,1,"N/A","N/A",NA,2.4446,2.4446,0,"N/A","N/A",2451652.8616,74,1615,100,NA,74,316.1289,1,316.1289,2451652.8616,"N/A","N/A",NA,2.4885,2.4885,0,"N/A","N/A",4280174.275,74,1719,100,NA,74,288.1343,1,288.1343,4280174.275
4994,5203,141,0.957,-13.946,0.492876854377997,0.415334513434935,0.362167472737561,0.446039437809906,0.492876854377997,0.415334513434935,0.362167472737561,0.446039437809906,1,"N/A","N/A",NA,5.1248,5.1248,0,"N/A","N/A",12937163.8,74,4994,141,NA,74,292.1904,1,292.1904,12937163.8,"N/A","N/A",NA,5.2554,5.2554,0,"N/A","N/A",3845240.0325,54,5203,141,NA,54,306.1365,1,306.1365,3845240.0325
