"row ID","row m/z","row retention time","row ion mobility","row ion mobility unit","row CCS","correlation group ID","annotation network number","best ion","auto MS2 verify","identified by n=","partners","neutral M mass","t0_BS_1.mzML Peak area","t0_BS_2.mzML Peak area","t0_BS_3.mzML Peak area","t0_BS_C.mzML Peak area","t1_BS_1.mzML Peak area","t1_BS_2.mzML Peak area","t1_BS_3.mzML Peak area","t1_BS_C.mzML Peak area","t2_BS_1.mzML Peak area","t2_BS_2.mzML Peak area","t2_BS_3.mzML Peak area","t2_BS_C.mzML Peak area","t3_BS_1.mzML Peak area","t3_BS_2.mzML Peak area","t3_BS_3.mzML Peak area","t3_BS_C.mzML Peak area","t4_BS_1.mzML Peak area","t4_BS_2.mzML Peak area","t4_BS_3.mzML Peak area","t4_BS_C.mzML Peak area","t5_BS_1.mzML Peak area","t5_BS_2.mzML Peak area","t5_BS_3.mzML Peak area","t5_BS_C.mzML Peak area","t6_BS_1.mzML Peak area","t6_BS_2.mzML Peak area","t6_BS_3.mzML Peak area","t6_BS_C.mzML Peak area","t7_BS_1.mzML Peak area","t7_BS_2.mzML Peak area","t7_BS_3.mzML Peak area","t7_BS_C.mzML Peak area","t8_BS_1.mzML Peak area","t8_BS_2.mzML Peak area","t8_BS_3.mzML Peak area","t8_BS_C.mzML Peak area","t9_BS_1.mzML Peak area","t9_BS_2.mzML Peak area","t9_BS_3.mzML Peak area","t9_BS_C.mzML Peak area"
37,161.0821152,0.35335436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
38,227.0220292,0.35016438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
39,302.0587127,0.3588882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
41,267.0352439,0.3645138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
46,161.0821118,0.4929305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
51,284.0489888,0.42960015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
52,281.0508736,0.4345666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
53,355.0695633,0.4336198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
55,267.0352442,0.42923832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
59,161.0821123,0.5019496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76591.82,498408.38,49337.52,621443.3,1494666.1,1425199.2,240332.92,329361.53,31755.695,147765.47,412242.38,116781.27,144904.95,76282.43,33096.344,119920.15,130008.09,197126,146014.88,111431.09,129492.5,120344.98,102395.2,222084.02,484712.84,139588.6,92662.81,113122.62,975688.4,369831.22,150273.06,224968.94,29922.771,195752.03,74864.94,64405.934,52632.38,191290.61,139235.95,81180.65
