"row ID","row m/z","row retention time","row ion mobility","row ion mobility unit","row CCS","correlation group ID","annotation network number","best ion","auto MS2 verify","identified by n=","partners","neutral M mass","t0_BS_1.mzML Peak area","t0_BS_2.mzML Peak area","t0_BS_3.mzML Peak area","t0_BS_C.mzML Peak area","t0_Ec_1.mzML Peak area","t0_Ec_2.mzML Peak area","t0_Ec_3.mzML Peak area","t0_Ec_C.mzML Peak area","t1_BS_1.mzML Peak area","t1_BS_2.mzML Peak area","t1_BS_3.mzML Peak area","t1_BS_C.mzML Peak area","t1_Ec_1.mzML Peak area","t1_Ec_2.mzML Peak area","t1_Ec_3.mzML Peak area","t1_Ec_C.mzML Peak area","t2_BS_1.mzML Peak area","t2_BS_2.mzML Peak area","t2_BS_3.mzML Peak area","t2_BS_C.mzML Peak area","t2_Ec_1.mzML Peak area","t2_Ec_2.mzML Peak area","t2_Ec_3.mzML Peak area","t2_Ec_C.mzML Peak area","t3_BS_1.mzML Peak area","t3_BS_2.mzML Peak area","t3_BS_3.mzML Peak area","t3_BS_C.mzML Peak area","t3_Ec_1.mzML Peak area","t3_Ec_2.mzML Peak area","t3_Ec_3.mzML Peak area","t3_Ec_C.mzML Peak area","t4_BS_1.mzML Peak area","t4_BS_2.mzML Peak area","t4_BS_3.mzML Peak area","t4_BS_C.mzML Peak area","t4_Ec_1.mzML Peak area","t4_Ec_2.mzML Peak area","t4_Ec_3.mzML Peak area","t4_Ec_C.mzML Peak area","t5_BS_1.mzML Peak area","t5_BS_2.mzML Peak area","t5_BS_3.mzML Peak area","t5_BS_C.mzML Peak area","t5_Ec_1.mzML Peak area","t5_Ec_2.mzML Peak area","t5_Ec_3.mzML Peak area","t5_Ec_C.mzML Peak area","t6_BS_1.mzML Peak area","t6_BS_2.mzML Peak area","t6_BS_3.mzML Peak area","t6_BS_C.mzML Peak area","t6_Ec_1.mzML Peak area","t6_Ec_2.mzML Peak area","t6_Ec_3.mzML Peak area","t6_Ec_C.mzML Peak area","t7_BS_1.mzML Peak area","t7_BS_2.mzML Peak area","t7_BS_3.mzML Peak area","t7_BS_C.mzML Peak area","t7_Ec_1.mzML Peak area","t7_Ec_2.mzML Peak area","t7_Ec_3.mzML Peak area","t7_Ec_C.mzML Peak area","t8_BS_1.mzML Peak area","t8_BS_2.mzML Peak area","t8_BS_3.mzML Peak area","t8_BS_C.mzML Peak area","t8_Ec_1.mzML Peak area","t8_Ec_2.mzML Peak area","t8_Ec_3.mzML Peak area","t8_Ec_C.mzML Peak area","t9_BS_1.mzML Peak area","t9_BS_2.mzML Peak area","t9_BS_3.mzML Peak area","t9_BS_C.mzML Peak area","t9_Ec_1.mzML Peak area","t9_Ec_2.mzML Peak area","t9_Ec_3.mzML Peak area","t9_Ec_C.mzML Peak area"
1352,454.3004069,2.2772894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16168.608,16224.744,15829.478,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
1355,194.1173603,2.2149463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
1357,248.1100518,2.2845693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,19846.697,23139.543,21997.926,13135.19,3766,3766,3766,3766,20974.555,21595.266,17545.469,11688.067,3766,3766,3766,3766,16926.402,11822.678,11514.266,9521.526
1358,306.1128327,2.2802196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5334.2803,6853.4595,8136.847,9867.365,3766,3766,3766,3766,8923.879,5725.0894,3766,14747.972,3766,3766,8515.89,3766,121880,150606.97,157226.4,80258.08,7684.069,4894.301,9079.222,4829.8286,191988.78,209235.4,184552.7,137009.8,16680.135,21784.723,24332.705,25947.99,195082.8,190964.8,183709.28,151878.72
1359,264.1130914,2.2854486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8809.125,5469.8696,10043.697,3766,106389.305,91266.945,109286.04,3766,8317.485,8445.986,7237.2217,3766,112713.47,113278.945,149106.4,3766,11007.695,9634.451,11412.38,3766,139724.55,134420.39,153305.36,3766,10880.543,5786.5327,9014.489,10078.372,121963.94,88557.88,125114.4,122734.2,10742.419,4149.897,7214.2793,9715.109,137101.75,154904.25,163483.55,101588.67,4529.5425,6368.589,6906.471,10352.056,122977.98,126703.45,134669.23,58206.766,6080.8438,4943.8555,8700.321,5518.3657,113558.68,83175.984,89733.984,59030.832,3766,3766,3766,3766,13288.033,16964.51,6412.4473,16243.877,3766,3766,3766,3766,12093.333,16573.543,15730.638,19848.613,3766,3766,3766,3766,7931.6245,3766,8175.3154,11096.611
1360,287.1295439,2.2854316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,25112.658,28393.424,30499.068,16008.051,3766,3766,3766,3766,28745.805,28377.51,22788.707,19350.05,3766,3766,3766,3766,20338.531,19617.168,15407.732,14543.492
1364,411.2600709,2.2929072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13314.211,13249.602,22693.227,3766,3766,3766,3766,3766,3766,5721.1904,5680.723,3766,3766,3766,3766,3766,14385.505,3766,3766,3766,3766,3766,3766,3766,3766,3766,4489.0903,3766,3766,3766,3766,3766,3766,5252.824,3766,3766,3766,3766,3766,3766,3766,3766,6353.961,3766,3766,3766,3991.498,3766,4627.831,4501.192,8353.406,4596.1724,3766,3766,3766,3888.566,3766,7094.3223,3766,3766,3766,3766,3766,6541.682,3766,3766,5334.6533,3766,3766,3766,3766,3766,3766,7328.587,7353.425,7770.5186,3766,3766,3766,3766
1365,322.0877732,2.2882345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,9761.357,15684.173,15223.488,3766,3766,3766,3766,3766,21276.334,24521.104,21725.314,14591.104,3766,3766,3766,3766,23204.02,20382.707,18028.371,15440.661
1367,191.0812582,2.2900267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26499.744,26563.074,28749.748,3766,33033.164,32074.13,30422.963,3766,31248.363,34666.24,34083.45,3766,32312.906,34277.984,36105.395,3766,35075.59,34738.09,36265.133,3766,34135.254,37035.91,33986.2,3766,33057.277,43342.598,36856.375,36605.086,19491.3,14755.949,36031.04,34720.26,34664.098,32733.04,35213.777,34996.414,32822.055,35023.973,37693.824,37117.11,32368.145,34008.36,33221.527,35879.855,34890.06,36888.402,35954.766,34218.79,36501.04,37038.84,40328.81,38231.812,34987.082,29171.049,32774.6,38436.734,32210.21,34101.55,34058.977,32933.11,33305.59,37466.367,28360.307,31745.738,35498.95,37769.316,35321.895,36728.215,33860.355,37071.207,36547.61,38063.242,35458.043,52610.383,41075.305,38885.918,35051.887,36896.105,34475.43,32105.578
1368,201.1235575,2.28102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24296.47,22720.135,16448.852,3766,27721.654,24090.639,23458.395,3766,27083.705,15535.363,26170.787,3766,26461.898,26734.143,27389.17,3766,19080.95,23988.648,26621.582,3766,16855.049,32025.248,30128.648,3766,27519.545,26174.031,27105.484,18193.004,18795.914,7559.7715,24393.395,18293.73,26934.902,27418.445,25764.906,24946.719,15991.443,30847.045,19639.572,28121.42,25891.889,25209.775,25696.125,25918.248,30918.215,27622.283,17406.574,27217.58,23793.697,24078.947,28518.17,27745.273,17407.197,17923.436,28893.494,33381.953,10181.008,11390.983,8920.395,12693.802,8132.045,14476.199,15538.157,15845.13,3766,9011.8955,15341.792,10924.555,16615.602,29810.102,24342.03,29542.861,8923.009,16061.887,8248.768,3766,11993.994,14235.712,17378.773,3766
1370,250.1335254,2.2926238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4342.703,3766,3766,5478.908,3766,3766,8323.261,15344.5,15236.003,3766
1371,223.1055073,2.2933078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37336.098,39651.24,29124.74,3766,49426.24,52727.19,53352.516,3766,58784.848,36618.07,59973.938,3766,62321.883,66254.49,71125.32,3766,81640.336,73542.56,74565.26,3766,30243.072,87689.98,93142.305,3766,76945.59,79116.02,85784.9,79812.23,65017.37,74275.766,86569.06,89359.83,83821.11,85275.37,91839.32,92361.69,57901.348,173084.69,99029.95,56505.133,92212.37,96767.25,88172.63,101078.08,105718.2,118137.23,183740.19,96321.91,99845.54,98979.59,106080.25,91429,124355.96,142839.8,86285.83,111009.12,25578.777,24035.336,25012.422,20345.188,26537.2,57234.742,27147.127,24794.379,20379.266,22132.898,16957.826,15033.395,24201.123,27886.49,33249.344,30093.064,12962.119,22378.883,15091.547,5828.829,22672.58,23261.947,44330.297,28045.896
